CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,BalanceSalaryRatio,TenureByAge,BalancePerProduct,ProductsPerTenure,ActiveWithCard,IsZeroBalance,Exited
-1.559275204939054,1,2.2035282224987744,0.7029958981398808,0.33446773205489383,-0.7721475822753598,1,0,1.5153195807506152,1,0,-0.03184740523100406,-0.19597623211297724,0.5980220315541771,-0.6799761111128383,0,0,1
-1.8878381125157937,1,-1.499687266251775,-0.6803567608289596,1.2236210025199752,-0.7721475822753598,1,1,0.6474848203290988,0,0,-0.02908856246932737,-0.1886440884112049,1.549761926421538,-0.3101247834749243,1,0,0
-0.16288284773790995,1,-1.6054934230732194,1.394672227624301,-1.3412597452536033,0.8788824674297182,1,1,-1.6061368493788089,0,1,-0.03439071697643269,2.655934382128387,-1.1956582551366985,-0.45806531453008986,1,1,0
-0.5325161187617422,1,-0.6532380116802209,-1.71787125505559,0.3677507588795145,-0.7721475822753598,0,1,-0.9954837844976662,0,1,-0.02316085788065032,-1.530426385835541,0.6336478179097322,1.9089831823525596,0,0,0
-0.6967975725501121,0,-0.01840107075155523,-0.6803567608289596,0.4603627915826692,-0.7721475822753598,1,1,1.5939592688014097,1,0,-0.031720641854847506,-0.6582678925097226,0.7327787205293099,-0.3101247834749243,1,0,1
-0.4401078010057841,1,0.7222420269985547,-0.33451859608674944,1.0929463870911085,-0.7721475822753598,1,1,-0.36427007728882355,1,0,-0.025683637886252515,-0.5407429891537612,1.4098892533051806,-0.45806531453008986,1,0,0
0.699594784651032,0,0.2990173997127776,-1.71787125505559,0.1821953205262607,-0.7721475822753598,1,0,1.1719499839403782,0,0,-0.03180676169643871,-1.530426385835541,0.43503131470773637,1.9089831823525596,0,0,0
0.08353933294464488,0,-0.8648503253231095,1.394672227624301,-1.3412597452536033,0.8788824674297182,1,0,0.983983782034596,0,0,-0.03439071697643269,1.740167964136278,-1.1956582551366985,-0.45806531453008986,0,1,0
1.1616363734308224,0,-0.8648503253231095,1.7405103923665113,0.21507713420238445,-0.7721475822753598,0,1,-0.33184728449897405,0,1,-0.028951060342521064,2.103567336355369,0.47022764691578534,-0.7808446550140876,0,0,0
0.08353933294464488,0,-0.8648503253231095,0.011319568655460683,1.0394090475755084,-0.7721475822753598,1,1,-1.200621343248306,0,1,-0.012901976294987887,0.286570475259914,1.3525834731044246,-0.5566923352335337,1,0,0
