CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited,BalanceSalaryRatio,TenureByAge,BalancePerProduct,ProductsPerTenure,ActiveWithCard,IsZeroBalance
-0.3112528404363994,0,0.21491913944099236,-1.0238147831905418,-1.3334627229818647,-0.7806032413163074,1,1,0.02166329851723297,0,0,1,-0.037081914025937204,-0.9785223320028065,-1.19008078732087,-0.07437777578119643,1,1
-0.42516299125703005,0,0.10805119245682897,-1.3676316765460583,0.02903559246052627,-0.7806032413163074,0,1,0.21651574638577462,0,1,0,-0.031078854528598453,-1.2470988190981767,0.2719256482534276,0.41222109810812424,0,0
-1.522842626437653,0,0.21491913944099236,1.0390865769425581,1.2622075523620526,2.5134416033093863,1,0,0.24069435592193575,0,0,1,-0.025785021881552916,0.6732230636337192,-0.26166700405940824,-0.07437777578119643,0,0
0.5171846200772782,0,-0.10568470151149781,-1.3676316765460583,-1.3334627229818647,0.8664191809965394,0,0,-0.10927900170334985,0,0,0,-0.037081914025937204,-1.23263700825458,-1.19008078732087,1.872017719776086,0,1
2.0808603267968446,0,0.32178708642515574,-1.0238147831905418,0.7070174995150844,-0.7806032413163074,1,1,-0.36590711021755085,0,1,0,-0.02428819661220383,-0.9913265598759581,0.999422996383991,-0.07437777578119643,1,0
-0.04201066576945418,1,0.4286550334093191,1.0390865769425581,0.5159110543921814,0.8664191809965394,1,0,0.8643144479588141,0,1,1,-0.030958523673471634,0.5731172820799908,-0.19786071128161806,-0.39877702504074347,0,0
1.7909072156170576,1,1.0698627153142994,0.6952696835870416,-1.3334627229818647,0.8664191809965394,1,1,-1.567383767629218,0,0,0,-0.037081914025937204,0.08960635717548084,-1.19008078732087,-0.3176772127258567,1,1
-1.5331980946940738,1,0.4286550334093191,-0.33618099647950844,0.975919041232007,0.8664191809965394,0,1,-0.43803612948625475,0,0,0,-0.021801585680903308,-0.4779934242341621,0.04894129557335403,0.12026177377453193,0,0
0.36185259623096366,1,-1.3881000653214584,-1.0238147831905418,0.8548470578908333,-0.7806032413163074,1,1,-0.493996696933511,0,0,0,-0.021953710271792284,-0.67264355503308,1.1580490755973634,-0.07437777578119643,1,0
-1.2536004517707076,1,-0.9606282773848049,0.35145279023152487,0.3250644025998895,0.8664191809965394,0,0,-0.3468109192922317,0,0,0,-0.02682530026671854,0.7087444699914947,-0.3002531436119079,-0.21340602546385945,0,0
